Recipe_ID,RecipeName,Ingredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,cleanedingredients,Ingredient-count,Cuisine,Course,Diet,Instructions,URL,Calories,Total Fat (g),Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrate,Dietary Fiber,Sugars,Protein (g)
149,Chettinad Thakkali Sadam Recipe (Chettinad Style Tomato Rice),"2 cups Rice - cooked,2 Tomatoes - finely chopped,1 Onion - thinly sliced,1 teaspoon Red Chilli powder,1 Green Chilli - slit,Mint Leaves (Pudina) - fistful,Coriander (Dhania) Leaves - small bunch,1 Cinnamon Stick (Dalchini),2 Cloves (Laung),1 sprig Curry leaves,1 tablespoon Ghee,Salt - to taste,1 inch Ginger - roughly chopped,3 to 4 cloves Garlic,1 teaspoon Fennel seeds (Saunf)",5,15,20,2,"tomato,coriander (dhania),salt,ginger,green chilli,rice,mint leaves (pudina) fistful,ghee,fennel seeds (saunf),red chilli powder,cloves garlic,curry leaves,onion,cinnamon stick (dalchini),cloves (laung)",15,Chettinad,Lunch, Vegetarian Gluten Free,"To begin making Chettinad Takkali Sadam Recipe, cook the rice to a fluffy texture and keep aside.Also, coarsely pound the ginger, garlic and fennel seeds using a mortar and pestle and keep aside.Heat ghee in a pan on medium flame, add the cinnamon stick and cloves and let it splutter.Add the ginger, garlic and fennel seeds mix and saute until the raw smell goes away.Add the curry leaves and sliced onions and saute until the onions turn translucent.Add the tomatoes and saute until its half cooked.Now, add the slit green chilli, red chilli powder, mint and coriander leaves and mix well.Season with salt and cook the mix until the tomatoes are well cooked and the whole mixture comes together. This will take around 10 minutes.Now, add the cooked rice and mix it evenly using a fork.Let it simmer for 5 minutes and switch off the flame.Serve the Chettinad Takkali Sadam Recipe along with Cauliflower & Cucumber Raita Recipe (Cauliflower Yogurt Salad) for lunch or for kids lunchbox.",https://www.archanaskitchen.com/chettinad-takkali-sadam-recipe-chettinad-style-tomato-rice,1121,16,6,3,4,18,1112,2315,157,38,52,43
150,Thai Yellow Coconut Curry Rice Recipe,"1 tablespoon Cumin seeds (Jeera),1 tablespoon Cinnamon Stick (Dalchini),1 tablespoon Dry ginger powder,1 tablespoon Turmeric powder (Haldi),2 teaspoons Red Chilli powder,2 teaspoons Coriander (Dhania) Seeds,2 teaspoons Fennel seeds (Saunf),2 teaspoons Whole Black Peppercorns,4 cloves Garlic,1 teaspoon Cardamom (Elaichi) Pods/Seeds,1 teaspoon Mace (Javitri),2 cups Jasmine Rice,1 cup Coconut milk,1/2 teaspoon Salt,2 tablespoons Coconut Oil,1 Onion - diced,1 Red Bell pepper (Capsicum) - sliced thin,10 Gawar Phali (Kothavarangai / Cluster beans) - chopped into half,1 inch Ginger - minced,1 Stalks Lemongrass - fresh minced,2 cloves Garlic - minced,1 tablespoon Lemon juice,1 tablespoon Jaggery,Salt - to taste,Thai basil leaves - for garnish",15,60,75,4,"jasmine rice,jaggery,black peppercorns,cloves garlic,coriander (dhania) seeds,onion,cumin seeds (jeera),gawar phali (kothavarangai cluster beans),coconut oil,turmeric powder,salt,red bell pepper (capsicum),cardamom (elaichi) podsseeds,thai basil leaves,mace (javitri),red chilli powder,lemon,stalks lemongrass,coconut milk,ginger,fennel seeds (saunf),dry ginger powder,cinnamon stick (dalchini)",23,Thai,Lunch,Vegetarian,"We begin making the Thai Yellow Coconut Curry Rice Recipe by boiling  milk and 1 cup of water in a sauce pan.In the meantime roast the cumin seeds, coriander seeds, fennel seeds, peppercorns and cinnamon sticks slightly. Once that is done grind it along with the rest of the ingredients in a mixer to a smooth paste.Add this paste along with rice and bring it to a boil. Cook till the rice till it becomes soft and cooked. In the middle when the rice start to absorb all the moisture add the lime leaves and lemon grass.In another pan, heat oil and saute the onions,ginger, garlic, bell peppers and cluster beans . Cook till it is soft and crunchy.Add these vegetable to the rice along with jaggery. Give it stir and make sure the rice does not stick to the bottom of the pan. Once the rice cooked taste for salt and season it well.At the end drizzle some lime juice and serve Serve the Thai Yellow Coconut Curry Rice Recipe as a one pot meal for a Sunday Lunch",http://www.archanaskitchen.com/thai-yellow-coconut-curry-rice-recipe,690,27,8,1,0,0,620,556,85,16,16,21
151,Stuffed Bhindi With Paneer (Recipe In Hindi),"250 grams Okra (Okra), Oil - As per use, 1 Onion - finely chopped, 1 Tomato - Grated, 1 teaspoon Ginger - Grated, 2 Garlic - Finely chopped, 1/2 teaspoon Cumin seeds, 1/4 Teaspoon asafoetida, salt - as per taste, 1 cup of cottage cheese - pinched, 1/2 teaspoon coriander powder, 1/4 teaspoon mango powder, 1/4 teaspoon red chilli powder, 1/4 teaspoon turmeric powder, salt to taste",10,30,40,2,"tomato,okra (okra),salt,turmeric powder,ginger grated,asafoetida,red chilli powder,onion,oil,coriander powder,cottage cheese ed,mango powder,garlic finely,cumin seeds",14,North Indian Recipes,Lunch,Vegetarian,"To make Paneer Bharam Bhendi, first wash the lady finger and dry it well. After that cut her steams. Cut out the seeds, take out the seeds and keep them on the side. To make the Bharam Masala, combine the ingredients of Paneer Masala in a bowl. Mix well and keep it on one side. Fill this spice well in the lady finger. Fill the sari lady finger and keep aside. Now grease a microwave safe tray with oil and place the sari lady finger on it. Allow the lady finger to cook for 3 to 4 minutes. Now heat the oil in a pan. Add cumin, asafoetida to it. After that add chopped onion, ginger, garlic and cook till the onion is cooked. Add grated tomatoes and cook on high heat. If there is leftover stuffing masala, then mix it in the pan. After the tomatoes are cooked, add okra in it and mix well. Beat the pan and cook until the lady finger is soft. After cooking add some lemon juice and chaat masala to it and serve. Serve Paneer Bhama Bhindi with Gujarati kadhi and roti with gum hot.",https://www.archanaskitchen.com/stuffed-bhindi-with-paneer,592,30,11,10,7,42,882,1430,52,14,27,20
152,Bael Ka Sharbat Recipe - Wood Apple Squash Drink,"1 Wood apple (bael fruit),2 tablespoons Jaggery - or sugar,Black Salt (Kala Namak) - to taste,1 teaspoon Cumin powder (Jeera),1 Lemon juice,Mint Leaves (Pudina) - as required,Water - chilled,Ice cubes",10,0,10,2,"cumin powder (jeera),black salt,ice cubes,water,jaggery sugar,wood apple (bael fruit),lemon,mint leaves (pudina)",8,North Indian Recipes,Appetizer,Vegetarian,"To begin making the Bael Ka Sharbat recipe, muddle the mint leaves and keep aside.Break open the fruit by hitting on the floor. Scoop out the pulp in a large bowl using a spoon or a scooper.Pour in some water and mash the pulp with your hands so as to separate the seeds.Now strain the liquid using a sieve separating the seeds and the fiber. Repeat the process once again, adding some more water.Add sugar/ jaggery, lemon juice and the remaining spices which includes black salt and cumin powder. Add in the muddled mint leaves.Add water, ice cubes and mix Bael Ka Sharbat properly. Adjust the quantity of the spices according to your preference and serve.Serve Bael Ka Sharbat on its own as a summer drink to your family. You can also serve this to your guests as a welcome drink along with Baked Chevdo Recipe (Chivda Mixture -Tea Time Snack) and Baked Mathri Recipe (Non Fried Tea Time Snack).",https://www.archanaskitchen.com/bael-ka-sharbat-recipe-woodapple-squash-drink,955,13,1,1,3,0,238,2315,157,38,3,36
153,Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,"2 Mango (Ripe) - peeled and cut,1 cup Sugar,1 teaspoon Saffron strands,1/4 teaspoon Cinnamon Powder (Dalchini)",20,15,35,4,"mango (ripe),sugar,saffron strands,cinnamon powder (dalchini)",4,Indian,Side Dish,Vegetarian,"To begin making Raw Mango Murabba Recipe, peel the mangoes and cut the in cubes and set aside.In a saucepan, add the sugar & 1/2 cup water and make a thin syrup.Once the syrup starts boiling, add the mango cubes, add the saffron strands & cinnamon powder, simmer on low flame, until the mango pieces are cooked.This will take 5 minutes more.Remove the Raw Mango Murabba from the flame & let the murabba cool.Once cooled, store the Raw Mango Murabba Recipe in a glass jar or steel jar.The Raw Mango Murabba Recipe can be stored for more than 6 months in the fridge & can be enjoyed with hot Spicy Yogurt Chapati Recipe or Whole Wheat Bread Recipe With Oatmeal And Flaxseeds.",http://www.archanaskitchen.com/homemade-mango-jam-recipe,243,2,0,0,0,0,23,143,61,1,61,3
154,Karnataka Style Gorai Kai Kara Recipe - Cluster Beans Chutney,"15 Gawar Phali (Kothavarangai / Cluster beans) - chopped,1 inch Ginger - chopped,4 cloves Garlic - chopped,5 Green Chillies - chopped,3 tablespoons Roasted Peanuts (Moongphali) - dry roasted,1/4 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),18 grams Tamarind,Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 pinch Asafoetida (hing)",5,35,40,4,"peanuts (moongphali) dry,salt,ginger,mustard seeds,asafoetida (hing),cloves garlic,white urad dal (split),coriander (dhania) seeds,gawar phali (kothavarangai cluster beans),cumin seeds (jeera),tamarind,green chillies",12,Karnataka,South Indian Breakfast, Vegetarian Diabetic Friendly,"To begin making the Karnataka Style Gorai Kai Kara Recipe (Cluster Beans Chutney Recipe), firstly begin by washing the cluster beans and removing the two pointed ends. Chop them half and keep it aside.Heat a kadai with oil and splutter cumin seeds, coriander seeds and curry leaves. Add the chopped onions and sauté them till it turns translucent.Once the onions are translucent, add the chopped garlic, ginger, green chilies and the cluster beans. Add salt and fry them till it is cooked. You can cover it with the lid and let it cook over medium heat.Once that is done let it cool down and add it in a mixer along with tamarind and roasted peanuts. Grind this into a smooth paste. The next step is to make the tempering for the chutney. Heat required oil in a tadka pan. When the oil is hot, add in the mustard seeds, urad dal, asafoetida, curry leaves and let the mustard seeds splutter. Once done, switch off the gas and pour the tempering over the chutney and give it a mix. Your chutney is ready to be served.Serve the Karnataka Style Gorai Kai Kara Recipe along with Ghee Roast Dosa and Filter Coffee for your morning breakfast.",https://www.archanaskitchen.com/karanataka-style-goraikai-kara-recipe-cluster-beans-chutney-recipe,159,5,1,0,0,0,150,68,10,16,2,6
155,Kunafa With Mango Cottage Cheese Cream Recipe,"500 grams Kataifi dough - ready made,200 grams Butter,2 tablespoons Sugar,1 tablespoon Rose water,2-1/2 cups Sugar,1-1/2 cups Water,1 teaspoon Lemon juice,1 teaspoon Rose water,Saffron strands - few,1 cup Paneer (Homemade Cottage Cheese),1/2 cup Mango Pulp (Puree),1/2 cup Icing Sugar,2 teaspoons Thandai Masala,50 grams Heavy whipping cream,1/2 cup Fresh cream,2 tablespoons Pistachios - crushed,2 tablespoons Dried rose petals",10,60,70,4,"heavy whipping cream,mango pulp (puree),pistachios,paneer,thandai masala,saffron strands,rose water,water,dried rose,sugar,lemon,icing sugar,butter,kataifi dough ready",14,Arab,Dessert,Vegetarian,"To begin making Kunafa With Mango Cottage Cheese Cream Recipe, start by making the  Syrup and the mango Cream.Make sugar syrup by boiling water and sugar. When the sugar has dissolved, boil for 3 to 4 minutes and switch off the flame and add lemon juice. Add in Saffron strands and rose water to the sugar syrup. Set aside to cool completely.With the help of hand blender, blend together all the ingredients listed under *for the Mango Cream till very well combined and keep this Icing in the Fridge.Preheat the oven at 180 degree Celsius for 15 minutes.In the meanwhile, prepare the dough by loosening kataifi dough in a large bowl.Melt the butter and add this to the kataifi dough slowly, while breaking and separating its strands.Add in the sugar and rose water to the kataifi to mix thoroughly, to get kunafa dough.Grease the dish in which you want to bake the kunafa for Kunafa With Mango Cottage Cheese Cream Recipe. Spread a layer of the prepared kunafa dough. Press it a little bit and spread some more dough.I wanted a Crescent Moon shape so I took dough and arranged it in a spring form pan in crescent moon and star shape. I also used 2 more spring form pans for utilizing the rest of the dough.Put the prepared pans in the preheated oven and let the kunafa bake at 180 degree Celsius for about 20-25 minutes or until lightly golden in color. The bottom side will be more golden brown when you flip it.Immediately pour cold sugar syrup evenly over the hot kunafa. Let it cool completely at room temperature. Invert onto a serving plate.When it is completely cooled put sufficient Mango Cream on the Kunafa. Garnish with Crushed Pistachios and Rose petals.Serve Kunafa With Mango Cottage Cheese Cream as a desert along with a meal of Foxtail Millet Pilaf , Delicious Spinach Falafels and Okra Bamia .",https://www.archanaskitchen.com/kunafa-with-mango-cottage-cheese-cream-recipe,1273,61,31,16,3,160,987,385,157,1,79,15
156,Safed Achari Baingan Recipe - White Aubergine in pickled spices,"500 grams Brinjal (Baingan / Eggplant),1 Onion - finely chopped,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1 inch Ginger - grated,2 cloves Garlic - grated,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Amchur (Dry Mango Powder),1 Tomato - chopped,Salt - to taste,1 Coriander (Dhania) Leaves - finely chopped,1 teaspoon Red Chilli powder,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),1 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Ajwain (Carom seeds),1/4 teaspoon Methi Seeds (Fenugreek Seeds),4-5 Dry Red Chillies,Sunflower Oil - for cooking",20,40,60,4,"tomato,salt,ginger,kalonji (onion nigella seeds),amchur (dry mango powder),mustard seeds,brinjal (baingan eggsplant),coriander (dhania) leaves,fennel seeds (saunf),ajwain (carom seeds),red chilli powder,cloves garlic,dry red chillies,onion,cumin seeds (jeera),methi seeds (fenugreek seeds),coriander powder,turmeric powder,sunflower oil",19,Indian,Dinner,Vegetarian,"To begin making the Achari Baingan Recipe, we will first make the achari masala.To prepare marinade for Achari masala, in a pan add mustard seeds, cumin seeds, fennel seeds, nigella seed, carom seeds, fenugreek seeds and dry red chilies. Dry roast the spices and chilies over medium heat till fragrant and slightly browned. Turn off the heat. Transfer spices to the jar of mixer and grind into a coarse powder. Keep the achari powder aside.Wash and clean baingan and keep aside.Heat oil in a wok and add mustard and cumin seeds in it and wait till they crackle.Add chopped onions and saute till raw smell goes off. Now add ginger garlic paste and fry well till golden.Now add turmeric powder, coriander powder, red chili powder and the achari masala along with chopped tomatoesSaute until the tomatoes soften. Meanwhile slit the baingan from the middle into two but keep the joint intact. This is done so that the masala gets inside the aubergine nicely while cooking.Add the baingan in the fried masala and mix well such that everything incorporates well.Add little amchur if required and stir well. Add little water just to make sure the masala doesn't stick to the bottom of the heavy bottomed pan.Add salt as per your taste and slow cook the baingan in low flame with lid closed.Once the baingan softens, turn off the heat and garnish with freshly chopped coriander and stir.Serve the Safed Achari Baingan Recipe along with hot Phulkas smeared with ghee or along with hot steamed rice as a one dish dinner or a quick weeknight dinner.",https://www.archanaskitchen.com/safed-achari-baingan-recipe-white-aubergine-in-pickled-spices,692,59,8,23,23,0,116,518,29,11,15,6
157,Potlankaya Perugu Pachhadi Recipe (Curd & Sunke Gourad Chutney),"1 Snake gourd (pudulangai) - finely chopped (approximately 1 cup),1 cup Curd (Dahi / Yogurt),1/2 cup Fresh coconut - grated,1 teaspoon Sunflower Oil,1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,1 Dry Red Chilli - broken into pieces,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1 teaspoon Sunflower Oil,1/4 teaspoon Asafoetida (hing)",20,20,40,4,"salt,snake gourd (pudulangai)(approximately ),coconut,mustard seeds,asafoetida (hing),dry red chilli,curd,cumin seeds (jeera),turmeric powder,sunflower oil",10,South Indian Recipes,Side Dish, Vegetarian Diabetic Friendly,"To begin the preparation of Potlakaya Perugu Pachadi Recipe, first heat a small pan and add oil. Add the finely chopped snake gourd pieces. Fry for a few seconds. Add salt and cover the pan.Let it cook for 2-3 minutes. Ensure the pieces do not get burnt, by checking in between.Once the pieces are cooked, add grated coconut and mix well. Turn off the flame, and let it cool down.For the seasoning, heat a small pan, add jeera and mustard.Let the mustard seeds splutter. Add red chilli pieces, hing and saute. If you prefer, add turmeric and put off the flame.Transfer the cooked snake gourd pieces and coconut to a bowl.Add curd. Add the seasoning and mix well.Serve this gentle Potlakaya Perugu Pachadi with hot rice for a weekday lunch.",https://www.archanaskitchen.com/potlakaya-perugu-pachadi-recipe-curd-and-snake-chutney,680,36,2,2,2,7,308,657,74,7,36,21
158,Karela Dahi Puri Recipe - A Chatpata Chaat Made From Bitter Gourd,"4 Karela (Bitter Gourd/ Pavakkai) - sliced into rounds,2 teaspoons Coriander Powder (Dhania),1 teaspoon Red Chilli powder - (adjust),1 pinch Asafoetida (hing),1/4 cup Gram flour (besan),1 teaspoon Black Salt (Kala Namak) - (adjust to taste),Sunflower Oil - as needed,1/4 cup Hung Curd (Greek Yogurt),1 teaspoon Chaat Masala Powder,1 tablespoon Sweet Chutney (Date & Tamarind),1/2 cup Sev,1/4 cup Aloo Bhujia - (optional),Dates - few,Coriander (Dhania) Leaves - small bunch",15,10,25,2,"aloo bhujia,coriander (dhania),black salt,hung curd (greek yogurt),sev,asafoetida (hing),karela (bitter gourd pavakkai),chaat masala powder,red chilli powder,sweet chutney (date tamarind),gram flour (besan),coriander powder,dates,sunflower oil",14,Indian,Snack,Vegetarian,"To begin making Karela Dahi Puri Recipe, heat about 2 cups of water in a saucepan and add all the sliced bitter gourd in it and boil for about 2 minutes or until semi cooked.Strain the karela slices out of water and keep aside.In a mixing bowl, add the gram flour, red chili powder, black salt, coriander powder and asafoetida.Toss the bitter gourd slices into this mixture. Sprinkle some water if needed and mix till it is coated well.Heat oil in a pan for shallow frying and fry the spiced bitter gourd in batches until done and crisp. Whisk the yogurt along with chaat masala powder and keep aside.Arrange the pan fried karela slices in a plate. Drizzle the spiced chatpata yogurt, tamarind chutney on each slice.  Spread bhujia & sev, dates and garnish with chopped coriander and serve. Serve Karela Dahi Puri along with a hot cup of Masala Tea or Filter Coffee for evening snacks.",https://www.archanaskitchen.com/karela-dahi-puri-recipe-a-chatpata-chaat-made-from-bitter-gourd,1497,113,27,43,29,4,1820,2186,133,19,72,17
159,Kasuri Methi and Potato Frying Recipe,"2 cups Potatoes (Aloo) - boiled and roughly mashed,1 cup Tomatoes - finely chopped,1-1/2 tablespoon Ginger - grated and ground,2 Green Chillies - slit,2 tablespoons Kasuri Methi (Dried Fenugreek Leaves) - (adjust),1/2 teaspoon Fennel seeds (Saunf),1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Methi Seeds (Fenugreek Seeds),1 tablespoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,2 teaspoons Amchur (Dry Mango Powder),1 tablespoon Ghee,Salt - to taste",20,10,30,4,"tomato,green chillies,cumin powder (jeera),salt,amchur (dry mango powder),ghee,fennel seeds (saunf),red chilli powder,ginger ground,cumin seeds (jeera),methi seeds (fenugreek seeds),coriander powder,potato (aloo),turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder",16,North Indian Recipes,Side Dish,Vegetarian,"To begin making Kasuri Methi Aur Aloo Rasedar Recipe, first boil the potatoes using a pressure cooker. Once done, peel and roughly mash the potatoes keep a few pieces intact.Heat ghee in a wok on medium heat, add cumin seeds, fennel and methi seeds and let it splutter.Add the dried fenugreek leaves (kasuri methi), and let its aroma release into the oil.Add the ginger paste, slit green chillies and saute until the raw smell goes away.Add the chopped tomatoes and saute until its half cooked.Add the coriander, turmeric, cumin and red chilli powder and saute for 2 minutes.Now, add the roughly mashed potatoes and two cups of water and mix well.Season with salt, aamchoor powder and simmer the mixture for 5 to 6 minutes.Once the gravy comes together and reaches your desired consistency, switch off the flame.Garnish with a teaspoon of kasuri methi and serve the Kasuri Methi Aur Aloo Rasedar Recipe along with Parathas",https://www.archanaskitchen.com/kasuri-methi-aur-aloo-rasedar-recipe,176,5,2,1,0,9,143,448,20,10,3,4
160,Sprouted Matki Chila Recipe with Spinach - Moth Bean Chila,"1 cup Moth Sprouts (Matki),1/2 cup White Urad Dal (Split) - soaked for 4 hours,2 Green Chillies,1 teaspoon Fennel seeds (Saunf),1 inch Ginger,1 cup Spinach Leaves (Palak) - coarsely ground,Salt - to taste,1/4 teaspoon Turmeric powder (Haldi),Sunflower Oil - for cooking",250,15,265,4,"salt,ginger,fennel seeds (saunf),white urad dal (split),moth sprouts (matki),spinach leaves (palak) ground,turmeric powder,green chillies,sunflower oil",9,North Indian Recipes,North Indian Breakfast, Vegetarian Diabetic Friendly,"To begin making the Sprouted Moth Cheela Recipe With Palak, we need to keep the sprouts ready.In a Mixer jar combine moth sprouts, soaked and drained urad dal, green chilies, fennel seeds and ginger, grind to a smooth paste.Transfer into a mixing bowl, mix in the finely chopped methi coarsely ground palak leaves, salt and turmeric. Check the salt and spice levels and adjust to suit your taste.The cheela batter will be similar to the consistency of a dosa batter or pancake batter. The batter should be able coat the back of the spoon.Preheat a skillet on medium heat, pour a ladleful of cheela batter on the pan and spread it in a circular motion to form a thin crepe/ dosa.Drizzle some oil around the Sprouted Moth Cheela Recipe With Palak and cook it until the top does not look raw and you notice the edges are getting brown. Flip and cook the matki cheela on the other side for a few seconds.Once done, transfer the Sprouted Moth Cheela Recipe to a plate and proceed to make the cheela with the remaining batter.Serve this Sprouted Moth Cheela Recipe With Palak with Sweet and Spicy Tomato Chutney Recipe for a light and simple weeknight dinner or even a  Vegetarian Diabetic Friendly breakfast.",http://www.archanaskitchen.com/sprouted-matki-cheela-recipe-with-palak-moth-beans-cheela,640,57,8,23,23,0,113,288,16,12,1,8
161,Malabar Kaai Curry Recipe With Nenthra Pazham,"2 Banana flower (Vazhaipoo) - ripe,1 cup Coconut milk - thick,3 cups Coconut milk - thin,1/2 cup Rice - raw,1/2 cup Chana dal (Bengal Gram Dal),1/4 Onion,2 Cardamom (Elaichi) Pods/Seeds,1 cup Sugar,3/4 teaspoon Salt - and some more for cooking the chana dal,Water - as required",60,30,90,4,"rice,cardamom (elaichi) podsseeds,banana flower (vazhaipoo) ripe,water,salt some the chana dal,sugar,onion,coconut milk,chana dal (bengal gram dal)",9,Kerala Recipes,Dessert, Vegetarian Gluten Free,"To begin making the Malabar Kaai Curry, first wash and soak chana dal and raw rice separately in two different bowls for about an hour.After that cook chana dal with little salt in water and once done, drain the water and keep it aside.Slice the bananas, and keep them aside.Now, grind together the rice, onion and cardamom with 1 cup water to a very fine paste.Take the rice batter in a pan and to this, add the thin coconut milk.Switch the flame on, and keep stirring continuously till the mixture thickens and becomes creamy.At this stage, add the sugar, salt, cooked chana dal and sliced bananas and mix well.Stir continuously and let the bananas cook for about 10 minutes.After that, add the thick coconut milk and mix and let it boil for about 2 minutes, before switching the flame off.Serve Malabar Kaai Curry as a dessert during the festive season along with Kandarappam.",http://www.archanaskitchen.com/malabar-kaai-curry-recipe-with-nenthrapazham,412,8,5,1,1,0,1285,268,75,4,60,6
162,Assamese Sweet Kordoi Recipe,"1 cup Whole Wheat Flour,1/4 teaspoon Salt,1 tablespoon Ghee,1/2 cup Lukewarm Water - (adjust),1/4 cup Caster Sugar - (powdered sugar),1 cup Water,Sunflower Oil - to deep fry",20,20,40,4,"salt,wheat flour,ghee,water,caster sugar ( sugar),sunflower oil",6,Assamese,Snack,Vegetarian,"To prepare Assamese Sweet Kordoi Recipe, mix together the flour and salt.Add the ghee and mix.Adding water gradually, knead until you have a smooth pliable dough. Cover and keep aside for 15 minutes.Make bigger balls of dough, about 2 inches in size.On a lightly dusted surface, roll each dough ball into a small circle (about 5-6 inches) .Using a sharp knife , cut 6-7 vertical and parallel lines into the dough circle , each line about 1/2 inch from the next. Dont cut all the way through. The lines should not reach the edge of the circle (about 1/4 inch from the edge). Think of a slotted spoon !Starting from one end, roll the dough circle . Pinch both the ends and push the ends gently towards the centre. This will fluff up the centre and give the kordoi its characteristic shape like a start fruit. Repeat with all the dough. This measurement makes about 12 such kordoi.Heat oil in a deep frying pan and fry the shaped kordoi in batches until golden brown and crisp. Cool the kordoi, placing them on kitchen towels or tissue to drain excess oil.Meanwhile, make the sugar syrup by bringing the sugar and water to a boil in a saucepan.Simmer for few minutes until syrup is thick and sticky.One by one, drop the kordoi into this syrup, turn over to the other side, and remove. Serve Assamese Sweet Kordoi Recipe warm or cool, paired with Adrak Chai.",http://www.archanaskitchen.com/assamese-sweet-kordoi-recipe,699,60,10,24,23,9,148,31,31,4,14,4
163,Steamed Bafauri Recipe (Bhojpuri Style Steamed Chana Dal Balls),"1-1/2 cups Chana dal (Bengal Gram Dal) - soaked for 3-4 hours,1 Onion - finely chopped,3 cloves Garlic,2 Green Chillies - (adjust to taste),1/2 teaspoon Ajwain (Carom seeds),Coriander (Dhania) Leaves - a small bunch,Salt - to taste",10,20,30,4,"coriander (dhania),salt,chana dal (bengal gram dal),ajwain (carom seeds),cloves garlic,onion,green chillies",7,Bihari,Snack, Vegetarian High Protein,"To begin making Steamed Bafauri Recipe (Bhojpuri Style Steamed Chana Dal Balls), wash and soak the chana dal for 3 to 4 hours in ample water.Drain the soaked chana and grind it to a smooth paste using a mixer grinder and take it out in a bowl.Now, roughly pound the garlic and chilies using a pestle and mortar and add it to the bowl of ground chana dal.Add the chopped onions, coriander leaves, caraway seeds, season with salt and mix well.Place a steamer pot on heat and bring the water to a rolling boil.Grease the steamer attachment plate, make small round balls of the prepared mixture and place it on the greased steamer plate.Let the chana dal balls steam for 20 minutes or until the balls are well cooked.Once done, switch off the heat and remove it into a bowl.Serve the Steamed Bafauri Recipe (Bhojpuri Style Steamed Chana Dal Balls) along with Dhaniya Pudina Chutney Recipe, Khajur Imli Chutney and Ginger Cardamom Chai for an evening snack.",https://www.archanaskitchen.com/steamed-bafauri-recipe-bhojpuri-style-steamed-chana-dal-balls,190,2,0,0,0,0,196,542,26,13,12,7
164,Jodhpuri Aloo Recipe,"500 grams Baby Potatoes - boiled,2 Dry Red Chillies,2 teaspoons Sesame seeds (Til seeds),1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),1/4 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Kashmiri Red Chilli Powder,2 tablespoons Red Chilli flakes,1 teaspoon Amchur (Dry Mango Powder),2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 tablespoon Sunflower Oil,Salt - to taste",10,20,30,4,"salt,kashmiri red chilli powder,amchur (dry mango powder),asafoetida (hing),fennel seeds (saunf),coriander (dhania) leaves,red chilli flakes,dry red chillies,cumin seeds (jeera),baby potatoes,turmeric powder,sesame seeds (til seeds),sunflower oil",13,Rajasthani,Lunch,Vegetarian,"To begin making the Jodhpuri Aloo Recipe, wash and pressure cook the baby potatoes for four whistles,  until they are well cooked. Peel the skin, cut them into halves and keep aside.Heat oil in a heavy bottomed pan, add the dry red chilli, cumin seeds, fennel seeds, white sesame seeds and let it splutter.Add the red chilli flakes and flavour the oil.Now, add in the boiled baby potatoes along with kashmiri red chili powder and  turmeric powder. Season with salt and mix well.Let the jodhpuri aloo roast on the slow heat, toss the baby potatoes occasionally from time to time.We have to slow roast the potatoes until they are slightly crisp on the outside. This will take around 12-15 minutes.Now, add in the amchur powder, combine well and switch off the heat. Garnish Jodhpuri Aloo with coriander leaves, sesame seeds and serve hot. Serve this Jodhpuri Aloo Recipe along with Rajasthani Kadhi and Phulkas for a delicious weekday lunch. You can also serve it with Ajwain Puri and Boondi Raita for breakfast.",http://www.archanaskitchen.com/jodhpuri-aloo-recipe,569,13,2,4,5,4,317,1176,78,13,3,26
